,band_singer,ranking,song,title,genre,year,active_years
1044,"Blood, Sweat & Tears",45,"[""You've Made Me So Very Happy""]",You've Made Me So Very Happy,['Soul'],1969,1967–1981 1984–present
1045,Jackie DeShannon,46,Put a Little Love in Your Heart,Put a Little Love in Your Heart,['Pop'],1969,1955–present
1046,Charles Wright & the Watts 103rd Street Rhythm Band,47,Do Your Thing,Do Your Thing,"['R&B', 'funk', 'funk rock']",1969,1962–present
1047,The Grass Roots,48,"[""I'd Wait a Million Years""]",I'd Wait a Million Years,['Psychedelic pop'],1969,1965–present
1048,The Doors,49,Touch Me,Touch Me,"['Pop', 'soul', 'proto-prog']",1969,1965 1965 1973 1973 1978
1049,Spiral Starecase,50,More Today Than Yesterday,More Today Than Yesterday,['Jazz rock'],1969,1964 1964 1982 1982
1050,Sammy Davis Jr.,51,"[""I've Gotta Be Me""]",I've Gotta Be Me,['Traditional pop'],1969,1928–1990
1051,Bob Dylan,52,Lay Lady Lay,Lay Lady Lay,['Country rock'],1969,1959–present
1052,Donovan,53,Atlantis,Atlantis,['Folk rock'],1969,1964–present
1053,Classics IV,54,Traces,Traces,"['Soft rock', '']",1969,1965
1054,"""Mama"" Cass Elliot",55,"[""It's Getting Better""]",It's Getting Better,['Sunshine pop'],1969,1959–1974
1055,Jay and the Americans,56,This Magic Moment,This Magic Moment,"['Soul', 'R&B']",1969,1960–1973 2006–present
1056,The Temptations,57,"Runaway Child, Running Wild","Runaway Child, Running Wild","['Psychedelic soul', 'psychedelic funk']",1969,1960–present
1057,The Ventures,58,Hawaii Five-O,Hawaii Five-O,['Instrumental'],1969,1958–present
1058,Glen Campbell,59,Galveston,Galveston,"['Country pop', 'soft rock']",1969,1958–2013
1059,Lou Christie,60,"[""I'm Gonna Make You Mine""]",I'm Gonna Make You Mine,['Pop'],1969,1962–present
1060,Ray Stevens,61,Gitarzan,Gitarzan,['Pop'],1969,1957–present
1061,Tyrone Davis,62,Can I Change My Mind,Can I Change My Mind,['Soul'],1969,1968–2003
1062,"[""Booker T. & the M.G.'s""]",63,Time Is Tight,Time Is Tight,['Soul'],1969,1962–1971 1973–1977 1992–2012
1063,Dionne Warwick,64,"[""This Girl's in Love With You""]",This Girl's in Love With You,"['Pop', 'easy listening']",1969,1955–present
1064,The Winstons,65,Color Him Father,Color Him Father,['R&Bsoulfunk'],1969,
1065,"Checkmates, Ltd.",66,Black Pearl,Black Pearl,['Soul'],1969,
1066,1910 Fruitgum Company,67,Indian Giver,Indian Giver,['Bubblegum pop'],1969,1965–1970 1999–present
1067,James Brown,68,Mother Popcorn,Mother Popcorn,['Funk'],1969,1954–2006
1068,Edwin Starr,69,Twenty-Five Miles,Twenty-Five Miles,['R&BSoul'],1969,1962–2003
1069,New Colony Six,70,"[""Things I'd Like to Say""]",Things I'd Like to Say,['Pop'],1969,
1070,Motherlode,71,When I Die,When I Die,['Soul'],1969,1969–1970 1976 1989–1990
1071,Marvin Gaye,72,"[""That's the Way Love Is""]",That's the Way Love Is,['Soul'],1969,1957–1984
1072,Harry Nilsson,73,s Talkin,Everybody's Talkin',"['Folk rock', 'soft rock']",1969,1958–1992
1073,The Brooklyn Bridge,74,Worst That Could Happen,Worst That Could Happen,"['Rock', 'pop rock']",1969,1968–present
1074,Joe Simon,75,"[""The Chokin' Kind""]",The Chokin' Kind,['Country'],1969,
1075,The Flying Machine,76,Smile a Little Smile for Me,Smile a Little Smile for Me,"['Bubblegum pop', '']",1969,1969–1971
1076,Tony Joe White,77,Polk Salad Annie,Polk Salad Annie,['Swamp rock'],1969,1967–2018
1077,Kenny Rogers and The First Edition,78,"[""Ruby, Don't Take Your Love to Town""]","Ruby, Don't Take Your Love to Town",['Country'],1969,1967 2015
1078,Joe South,79,Games People Play,Games People Play,"['Folk rock', 'country rock', 'psychedelic rock', 'raga rock']",1969,1958–2012
1079,The Turtles,80,You Showed Me,You Showed Me,['Pop'],1969,1965
1080,The Cuff Links,81,Tracy,Tracy,['Bubblegum pop'],1969,
1081,The Dells,82,"Oh, What a Night","Oh, What a Night","['Doo-wop', '']",1969,1953–2012
1082,The Beatles,83,Something,Something,"['Soft rock', 'pop']",1969,1960–1970
1083,Gary Puckett & The Union Gap,84,This Girl Is a Woman Now,This Girl Is a Woman Now,['Rock'],1969,1967–1971
1084,The Beatles,85,Come Together,Come Together,['Blues rock'],1969,1960–1970
1085,Bob Seger System,86, Gamblin,Ramblin' Gamblin' Man,"['Psychedelic rock', 'hard rock']",1969,1961
1086,The Supremes,87,"[""I'm Gonna Make You Love Me""]",I'm Gonna Make You Love Me,"['Soul', 'pop']",1969,1959 1960–present
1087,Marvin Gaye,88,I Heard It Through the Grapevine,I Heard It Through the Grapevine,['R&B'],1969,1957–1984
1088,Crazy Elephant,89,"[""Gimme Gimme Good Lovin'""]",Gimme Gimme Good Lovin',"['Psychedelic rock', 'garage rock']",1969,1967–1970
1089,"[""Booker T. & the M.G.'s""]",90,"[""Hang 'Em High""]",Hang 'Em High,['Soul'],1969,1962–1971 1973–1977 1992–2012
1090,Lou Rawls,91,Your Good Thing (Is About to End),Your Good Thing (Is About to End),['R&B'],1969,1941–2006
1091,The Originals,92,"[""Baby, I'm for Real""]","Baby, I'm for Real",['Soul'],1969,1966–1982 1989–present
1092,Edwin Hawkins Singers,93,Oh Happy Day,Oh Happy Day,['Gospelurban contemporary gospel'],1969,
1093,Tom Jones,94,Love Me Tonight,Love Me Tonight,['Pop'],1969,1963–present
1094,Paul Revere & the Raiders,95,"Mr. Sun, Mr. Moon","Mr. Sun, Mr. Moon","['Psychedelic pop', 'bubblegum pop']",1969,1958–1976 1978–2014
1095,The Guess Who,96,Laughing,Laughing,['Pop rock'],1969,1965 1965 1975 1975 1977 1977
1096,David Ruffin,97,My Whole World Ended (The Moment You Left Me),My Whole World Ended (The Moment You Left Me),['Soul'],1969,1956–1991
1097,The Box Tops,98,Soul Deep,Soul Deep,['Pop'],1969,1967–1970 1996–2010 2015–present
1098,B.J. Thomas,99,Hooked on a Feeling,Hooked on a Feeling,['Pop'],1969,1966–2021
1099,The Box Tops,100,"""Sweet Cream Ladies""","""Sweet Cream Ladies""",[],1969,1967–1970 1996–2010 2015–present
1100,Paul Revere & the Raiders,100,Let Me,Let Me,['Rock'],1969,1958–1976 1978–2014
1101,Simon & Garfunkel,1,Bridge Over Troubled Water,Bridge Over Troubled Water,"['Pop rock', '', '']",1970,1956 2010
1102,The Carpenters,2,(They Long to Be) Close to You,(They Long to Be) Close to You,"['Pop', 'soft rock', 'easy listening']",1970,1965–1983
1103,The Guess Who,3,American Woman,American Woman,['Blues rock'],1970,1965 1965 1975 1975 1977 1977
1104,B.J. Thomas,4,"[""Raindrops Keep Fallin' on My Head""]",Raindrops Keep Fallin' on My Head,"['Pop', 'soft rock']",1970,1966–2021
1105,Edwin Starr,5,War,War,['Progressive soul'],1970,1962–2003
1106,Diana Ross,6,"[""Ain't No Mountain High Enough""]",Ain't No Mountain High Enough,"['Pop', 'soul']",1970,1959–present
1107,The Jackson 5,7,"[""I'll Be There""]",I'll Be There,['Soul'],1970,1964–1989 2001 2012–present
1108,Rare Earth,8,Get Ready,Get Ready,['Soul'],1970,1968 1968
1109,The Beatles,9,Let It Be,Let It Be,"['Rock', 'pop', 'soft rock']",1970,1960–1970
1110,Freda Payne,10,Band of Gold,Band of Gold,['Soul'],1970,1961–present
1111,Three Dog Night,11,Mama Told Me (Not to Come),Mama Told Me (Not to Come),['Roots rock'],1970,1967–1976 1981–present
1112,Ray Stevens,12,Everything Is Beautiful,Everything Is Beautiful,['Popcountrysoft rock'],1970,1957–present
1113,Bread,13,Make It with You,Make It with You,['Soft rock'],1970,1968 1997
1114,Vanity Fare,14,"[""Hitchin' a Ride""]",Hitchin' a Ride,['Pop rock'],1970,1966–present
1115,The Jackson 5,15,ABC,ABC,['Bubblegum-soul'],1970,1964–1989 2001 2012–present
1116,The Jackson 5,16,The Love You Save,The Love You Save,"['Bubblegum-soul', '']",1970,1964–1989 2001 2012–present
1117,Neil Diamond,17,"[""Cracklin' Rosie""]",Cracklin' Rosie,"['Soft rock', 'pop']",1970,1962–present
1118,Dawn,18,Candida,Candida,"['Pop', 'rock']",1970,1970–1977 1988–1993 2005 2015–2016 2018–present
1119,Sly & the Family Stone,19,Thank You (Falettinme Be Mice Elf Agin),Thank You (Falettinme Be Mice Elf Agin),['Funk'],1970,1966–1983
1120,Eric Burdon,20,Spill the Wine,Spill the Wine,['Progressive soul'],1970,1960–present 1969–present
1121,Five Stairsteps,21,O-o-h Child,O-o-h Child,"['Pop', 'R&B', 'chicago soul']",1970,1965 1981
1122,Norman Greenbaum,22,Spirit in the Sky,Spirit in the Sky,['Psychedelic rock'],1970,1965–present
1123,Melanie,23,Lay Down (Candles in the Rain),Lay Down (Candles in the Rain),[],1970,1967–present
1124,The Temptations,24,"[""Ball of Confusion (That's What the World Is Today)""]",Ball of Confusion (That's What the World Is Today),['Psychedelic soul'],1970,1960–present
1125,The Moments,25,Love on a Two-Way Street,Love on a Two-Way Street,"['R&B', 'soul']",1970,1965–1978 1978–present
1126,The Poppy Family,26,"[""Which Way You Goin' Billy?""]",Which Way You Goin' Billy?,['Sunshine Pop'],1970,1968–1972 2017
1127,Free,27,All Right Now,All Right Now,['Hard rock'],1970,1968 1968 1973
1128,The Jackson 5,28,I Want You Back,I Want You Back,['Popsoul'],1970,1964–1989 2001 2012–present
1129,Bobby Sherman,29,"Julie, Do Ya Love Me","Julie, Do Ya Love Me",['Pop'],1970,1962–1997
1130,Sugarloaf,30,Green-Eyed Lady,Green-Eyed Lady,"['Jazz fusion', 'psychedelic rock']",1970,1968–1978 1985 1989–1991 2012
1131,Stevie Wonder,31,"[""Signed, Sealed, Delivered I'm Yours""]","Signed, Sealed, Delivered I'm Yours",['Soul'],1970,1961–present
1132,Blues Image,32,Ride Captain Ride,Ride Captain Ride,['Rock'],1970,1966 1966 1970 1970
1133,Shocking Blue,33,Venus,Venus,['Country rock'],1970,1967 1967 1974 1974 1979 1980 1984
1134,John Lennon,34,Instant Karma!,Instant Karma!,['Rock'],1970,1956–1980
1135,Clarence Carter,35,Patches,Patches,"['Soul', 'southern soul', 'country']",1970,1962–present
1136,Creedence Clearwater Revival,36,"[""Lookin' out My Back Door""]",Lookin' out My Back Door,['Country rock'],1970,1959 1959 1972 1972
1137,Brook Benton,37,Rainy Night in Georgia,Rainy Night in Georgia,"['R&B', 'soul']",1970,1948–1988
1138,Kenny Rogers,38,"[""Something's Burning""]",Something's Burning,['Country rock'],1970,1956–2017 1967 2015
1139,Chairmen of the Board,39,Give Me Just a Little More Time,Give Me Just a Little More Time,['Soul'],1970,1967–present
1140,Edison Lighthouse,40,Love Grows (Where My Rosemary Goes),Love Grows (Where My Rosemary Goes),['Soft rock'],1970,1969 1969 1972 1972 1974 1974
1141,The Beatles,41,The Long and Winding Road,The Long and Winding Road,"['Pop', '']",1970,1960–1970
1142,Anne Murray,42,Snowbird,Snowbird,['Folk pop'],1970,1967–2008
1143,Marmalade,43,Reflections of My Life,Reflections of My Life,"['Psychedelic pop', 'lite rock', 'soul']",1970,1966–present
1144,Eddie Holman,44,Hey There Lonely Girl,Hey There Lonely Girl,"['R&B', 'soul']",1970,1956–present
1145,The Jaggerz,45,The Rapper,The Rapper,"['Rock', 'pop']",1970,1964
1146,The Hollies,46,"t Heavy, He","He Ain't Heavy, He's My Brother","['Baroque pop', 'soft rock', 'gospel']",1970,1962 1962
1147,"[""Alive N Kickin'""]",47,"Tighter, Tighter","Tighter, Tighter",['Pop rock'],1970,1968-1971 1976-present
1148,Badfinger,48,Come and Get It,Come and Get It,"['Power pop', 'pop rock']",1970,1961 1990
1149,Simon & Garfunkel,49,Cecilia,Cecilia,"['Pop rock', 'folk rock']",1970,1956 2010
1150,Charles Wright & the Watts 103rd Street Rhythm Band,50,Love Land,Love Land,['R&B'],1970,1962–present
1151,Tyrone Davis,51,Turn Back the Hands of Time,Turn Back the Hands of Time,"['R&B', 'Soul']",1970,1968–2003
1152,The Kinks,52,Lola,Lola,"['Rock', 'folk rock', 'pop']",1970,1963–1996
1153,Mungo Jerry,53,In the Summertime,In the Summertime,['Skiffle'],1970,1970–present
1154,R. Dean Taylor,54,Indiana Wants Me,Indiana Wants Me,[],1970,1961
1155,Rare Earth,55,"[""(I Know) I'm Losing You""]",(I Know) I'm Losing You,['Soul'],1970,1968 1968
1156,Bobby Sherman,56,"Easy Come, Easy Go","Easy Come, Easy Go",['Pop'],1970,1962–1997
1157,Charles Wright & the Watts 103rd Street Rhythm Band,57,Express Yourself,Express Yourself,"['R&B', 'funk', 'soul']",1970,1962–present
1158,The Four Tops,58,Still Water (Love),Still Water (Love),"['Soul', 'pop']",1970,1953–present
1159,Chicago,59,Make Me Smile,Make Me Smile,"['Rock', 'blue-eyed soul']",1970,1967–present
1160,Frijid Pink,60,The House of the Rising Sun,The House of the Rising Sun,"['Folk rock', 'blues rock']",1970,1967–1975 2007–present
1161,Chicago,61,25 or 6 to 4,25 or 6 to 4,"['Hard rock', 'jazz rock']",1970,1967–present
1162,White Plains,62,"[""My Baby Loves Lovin'""]",My Baby Loves Lovin',['Bubblegum pop'],1970,1969 2006
1163,The Friends of Distinction,63,Love or Let Me Be Lonely,Love or Let Me Be Lonely,"['Pop', 'R&B']",1970,1968–1975
1164,The Brotherhood of Man,64,United We Stand,United We Stand,"['Pop', 'soul']",1970,1969–present
1165,The Carpenters,65,"[""We've Only Just Begun""]",We've Only Just Begun,"['Soft rock', '']",1970,1965–1983
1166,Mark Lindsay,66,Arizona,Arizona,['Pop'],1970,1958–present
1167,James Taylor,67,Fire and Rain,Fire and Rain,['Folk pop'],1970,1966–present
1168,Gene Chandler,68,Groovy Situation,Groovy Situation,['Rhythm and blues'],1970,
1169,Santana,69,Evil Ways,Evil Ways,"['Jazz fusion', 'Latin rock']",1970,1966–present
1170,The Guess Who,70,No Time,No Time,"['Pop rock', 'hard rock', 'psychedelic pop']",1970,1965 1965 1975 1975 1977 1977
1171,The Delfonics,71,"[""Didn't I (Blow Your Mind This Time)""]",Didn't I (Blow Your Mind This Time),"['Soul', 'pop']",1970,1965–2022
1172,Elvis Presley,72,The Wonder of You,The Wonder of You,"['Soft rock', 'pop']",1970,1953–1977
1173,Creedence Clearwater Revival,73,Up Around the Bend,Up Around the Bend,['Rock'],1970,1959 1959 1972 1972
1174,Ronnie Dyson,74,"[""(If You Let Me Make Love To You Then) Why Can't I Touch You?""]",(If You Let Me Make Love To You Then) Why Can't I Touch You?,['Soul'],1970,1968–1990
1175,B.J. Thomas,75,"[""I Just Can't Help Believing""]",I Just Can't Help Believing,['Blue-eyed soul'],1970,1966–2021
1176,The Spinners,76,"[""It's a Shame""]",It's a Shame,['Soul'],1970,1954–present
1177,Bobbi Martin,77,For the Love of Him,For the Love of Him,['Pop'],1970,
1178,Mountain,78,Mississippi Queen,Mississippi Queen,"['Hard rock', 'heavy metal', 'blues rock', 'Southern rock']",1970,1969–1974 1981–1985 1992–1998 2001–2010
1179,Ike & Tina Turner,79,I Want to Take You Higher,I Want to Take You Higher,"['Psychedelic soul', 'funk']",1970,1960–1976
1180,Joe Cocker,80,The Letter,The Letter,"['Pop rock', 'blue-eyed soul']",1970,1961–2014
1181,Tee-Set,81,Ma Belle Amie,Ma Belle Amie,['Pop rock'],1970,1965–1979
1182,The Originals,82,The Bells,The Bells,['Soul'],1970,1966–1982 1989–present
1183,Christie,83,Yellow River,Yellow River,['Pop rock'],1970,1965–1976 1990–present
1184,100 Proof (Aged in Soul),84,"[""Somebody's Been Sleeping""]",Somebody's Been Sleeping,"['Soul', 'R&B', 'funk']",1970,
1185,The Ides of March,85,Vehicle,Vehicle,['Funk rock'],1970,1966
1186,The Pipkins,86,Gimme Dat Ding,Gimme Dat Ding,"['Novelty', 'music hall']",1970,1970
1187,Robin McNamara,87,"[""Lay a Little Lovin' on Me""]",Lay a Little Lovin' on Me,['Pop / Rock'],1970,
1188,The Supremes,88,Up the Ladder to the Roof,Up the Ladder to the Roof,"['Soul', 'R&B']",1970,1959
1189,Creedence Clearwater Revival,89,"[""Travelin' Band""]",Travelin' Band,['Rock and roll'],1970,1959 1959 1972 1972
1190,The Sandpipers,90,Come Saturday Morning,Come Saturday Morning,['Pop'],1970,1966–1975
1191,The Temptations,91,Psychedelic Shack,Psychedelic Shack,"['Funk', 'psychedelic soul']",1970,1960–present
1192,Tom Jones,92,Without Love (There Is Nothing),Without Love (There Is Nothing),['Rhythm & blues'],1970,1963–present
1193,Pacific Gas & Electric,93,Are You Ready?,Are You Ready?,[],1970,1967 1967 1973 1973
1194,"Crosby, Stills, Nash & Young",94,Woodstock,Woodstock,['Folk rock'],1970,1968 2015
1195,Dionne Warwick,95,"[""I'll Never Fall in Love Again""]",I'll Never Fall in Love Again,['Pop'],1970,1955–present
1196,The New Seekers,96,"[""Look What They've Done to My Song Ma""]",Look What They've Done to My Song Ma,['Folk rock'],1970,1969–1974 1976–2010
1197,Joe South,97,Walk A Mile In My Shoes,Walk A Mile In My Shoes,['Rock'],1970,1958–2012
1198,B.B. King,98,The Thrill Is Gone,The Thrill Is Gone,"['R&B', 'soul blues']",1970,1942–2014
1199,Glen Campbell,99,"[""It's Only Make Believe""]",It's Only Make Believe,"['Country', 'rockabilly', 'pop']",1970,1958–2013
1200,Aretha Franklin,100,Call Me,Call Me,['Soul'],1970,1954–2017
1201,Three Dog Night,1,Joy to the World,Joy to the World,['Rock'],1971,1967–1976 1981–present
1202,Rod Stewart,2,Maggie May,Maggie May/Reason to Believe,['Folk rock'],1971,1961–present
1203,Carole King,3,"s Too Late"", ",It's Too Late/I Feel the Earth Move,['Soft rock'],1971,1958–present
1204,The Osmonds,4,One Bad Apple,One Bad Apple,"['Pop', 'R&B', 'bubblegum pop']",1971,1970 1962 1982–2007 2018–2019 2007–2023
1205,Bee Gees,5,How Can You Mend a Broken Heart,How Can You Mend a Broken Heart,['Pop'],1971,1958–1969 1970–2003 2006 2009–2012
1206,Raiders,6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Indian Reservation (The Lament of the Cherokee Reservation Indian),['Psychedelic rock'],1971,1958–1976 1978–2014
1207,Donny Osmond,7,Go Away Little Girl,Go Away Little Girl,['Pop'],1971,1963–present
1208,John Denver,8,"Take Me Home, Country Roads","Take Me Home, Country Roads",['Country'],1971,1962–1997
1209,The Temptations,9,Just My Imagination (Running Away with Me),Just My Imagination (Running Away with Me),['Soul'],1971,1960–present
1210,Tony Orlando and Dawn,10,Knock Three Times,Knock Three Times,['Pop'],1971,1970–1977 1988–1993 2005 2015–2016 2018–present
1211,Janis Joplin,11,Me and Bobby McGee,Me and Bobby McGee,"['Blues rock', 'country rock']",1971,1962–1970
1212,Al Green,12,Tired of Being Alone,Tired of Being Alone,['Soul'],1971,1955–present
1213,Honey Cone,13,Want Ads,Want Ads,"['R&B', 'soul', 'funk']",1971,1968
1214,The Undisputed Truth,14,Smiling Faces Sometimes,Smiling Faces Sometimes,['Psychedelic soul'],1971,1970–1981
1215,Cornelius Brothers & Sister Rose,15,Treat Her Like a Lady,Treat Her Like a Lady,['RockR&B'],1971,
1216,The Rolling Stones,16,Brown Sugar,Brown Sugar,"['Hard rock', 'rock and roll', 'blues rock', 'boogie rock']",1971,1962–present
1217,James Taylor,17,"[""You've Got a Friend""]",You've Got a Friend,['Soft rock'],1971,1966–present
1218,Jean Knight,18,Mr. Big Stuff,Mr. Big Stuff,['Funk'],1971,1965–present
1219,Lee Michaels,19,Do You Know What I Mean,Do You Know What I Mean,['Rock'],1971,
1220,Joan Baez,20,The Night They Drove Old Dixie Down,The Night They Drove Old Dixie Down,['Folk rock'],1971,1958–present
1221,Marvin Gaye,21,"[""What's Going On""]",What's Going On,"['Soul', 'R&B', 'progressive soul', 'psychedelic soul']",1971,1957–1984
1222,Paul,22,Uncle Albert/Admiral Halsey,Uncle Albert/Admiral Halsey,"['Progressive pop', 'art pop', 'psychedelic pop']",1971,1957–present 1965–1998
1223,Bill Withers,23,"[""Ain't No Sunshine""]",Ain't No Sunshine,['R&Bsoulbluesfolk rock'],1971,1967–1985
1224,Five Man Electrical Band,24,Signs,Signs,['Hard rock'],1971,1963 1963 1975 1986–present
1225,Tom Jones,25,"[""She's a Lady""]",She's a Lady,['Pop'],1971,1963–present
1226,The Free Movement,26,"[""I've Found Someone of My Own""]",I've Found Someone of My Own,['R&B'],1971,
1227,Murray Head & The Trinidad Singers,27,Superstar,Superstar,"['Symphonic rock', 'funk rock']",1971,1966–present
1228,Jerry Reed,28,Amos Moses,Amos Moses,['Swamp rock'],1971,1955–2008
1229,The Grass Roots,29,Temptation Eyes,Temptation Eyes,"['Psychedelic pop', 'blue-eyed soul']",1971,1965–present
1230,The Carpenters,30,Superstar,Superstar,"['Adult contemporary', 'pop rock', 'soft rock']",1971,1965–1983
1231,George Harrison,31,My Sweet Lord,My Sweet Lord,"['Folk rock', 'gospel', 'pop']",1971,1958–2001
1232,Donny Osmond,32,Sweet and Innocent,Sweet and Innocent,['Pop'],1971,1963–present
1233,Ocean,33,Put Your Hand in the Hand,Put Your Hand in the Hand,"['Pop', 'gospel']",1971,1970 1970 1975 1975
1234,Daddy Dewdrop,34,t Ya Jes,Chick-A-Boom (Don't Ya Jes' Love It),['Pop rock'],1971,
1235,The Carpenters,35,For All We Know,For All We Know,"['Soft rock', 'pop']",1971,1965–1983
1236,Gordon Lightfoot,36,If You Could Read My Mind,If You Could Read My Mind,"['Soft rock', 'folk rock']",1971,1958–2023
1237,Sammi Smith,37,Help Me Make It Through the Night,Help Me Make It Through the Night,['Country'],1971,1968–2005
1238,The Carpenters,38,Rainy Days and Mondays,Rainy Days and Mondays,['Soft rock'],1971,1965–1983
1239,Cher,39,"Gypsys, Tramps & Thieves","Gypsys, Tramps & Thieves","['Pop', 'folk rock']",1971,1963–present
1240,The Jackson 5,40,Never Can Say Goodbye,Never Can Say Goodbye,['Soul'],1971,1964–1989 2001 2012–present
1241,Lynn Anderson,41,Rose Garden,Rose Garden,['Countrypop soul'],1971,1966–2015
1242,"Hamilton, Joe Frank & Reynolds",42,"[""Don't Pull Your Love""]",Don't Pull Your Love,"['Pop', 'soft rock']",1971,1968–1976 1986–1988
1243,Ringo Starr,43,"[""It Don't Come Easy""]",It Don't Come Easy,['Rock'],1971,1957–present
1244,Nitty Gritty Dirt Band,44,Mr. Bojangles,Mr. Bojangles,"['Country', 'folk']",1971,1966–present
1245,The Fuzz,45,I Love You for All Seasons,I Love You for All Seasons,['Soul'],1971,1970 1970 1972 1972
1246,The Dramatics,46,Whatcha See is Whatcha Get,Whatcha See is Whatcha Get,"['R&B', 'soul']",1971,1964–present
1247,Carly Simon,47,s the Way I,That's the Way I've Always Heard It Should Be,['Soft rock'],1971,1963–present
1248,Stevie Wonder,48,If You Really Love Me,If You Really Love Me,"['R&B', 'pop']",1971,1961–present
1249,Aretha Franklin,49,Spanish Harlem,Spanish Harlem,['Soul'],1971,1954–2017
1250,Helen Reddy,50,"[""I Don't Know How to Love Him""]",I Don't Know How to Love Him,['Folk'],1971,1965 2017
1251,The Osmonds,51,Yo-Yo,Yo-Yo,[],1971,1970 1962 1982–2007 2018–2019 2007–2023
1252,Aretha Franklin,52,Bridge over Troubled Water,Bridge over Troubled Water,"['Pop rock', '', '']",1971,1954–2017
1253,The Partridge Family,53,"[""Doesn't Somebody Want to Be Wanted""]",Doesn't Somebody Want to Be Wanted,['Pop'],1971,
1254,Tommy James,54,"[""Draggin' the Line""]",Draggin' the Line,"['Pop rock', 'psychedelic rock']",1971,1959–present
1255,Ike & Tina Turner,55,Proud Mary,Proud Mary,"['Roots rock', 'swamp rock', 'Southern rock', 'folk rock']",1971,1960–1976
1256,Chicago,56,Beginnings,Beginnings/Colour My World,"['Jazz rock', 'folk rock', 'progressive rock']",1971,1967–present
1257,The Bells,57,Stay Awhile,Stay Awhile,['Soft rock'],1971,1964 1964 1974 1974
1258,The Stampeders,58,Sweet City Woman,Sweet City Woman,"['Rock', 'country rock']",1971,1964–1977 1992–present
1259,Lobo,59,Me and You and a Dog Named Boo,Me and You and a Dog Named Boo,['Soft rock'],1971,1961–present
1260,Paul McCartney,60,Another Day,"Another Day/Oh Woman, Oh Why",['Pop'],1971,1957–present
1261,Bread,61,If,If,['Soft rock'],1971,1968 1997
1262,Marvin Gaye,62,Mercy Mercy Me (The Ecology),Mercy Mercy Me (The Ecology),['Soul'],1971,1957–1984
1263,Brewer & Shipley,63,One Toke Over the Line,One Toke Over the Line,"['Country rock', 'folk rock']",1971,1967–1978 1995–present
1264,8th Day,64,"[""She's Not Just Another Woman""]",She's Not Just Another Woman,['Funk'],1971,
1265,Freda Payne,65,Bring the Boys Home,Bring the Boys Home,['Soul'],1971,1961–present
1266,Rare Earth,66,I Just Want to Celebrate,I Just Want to Celebrate,"['Funk rock', 'psychedelic rock']",1971,1968 1968
1267,Delaney & Bonnie,67,Never Ending Song of Love,Never Ending Song of Love,[],1971,1967–1972
1268,Freddie Hart,68,Easy Loving,Easy Loving,"['Country', 'country pop']",1971,1953–2018
1269,Three Dog Night,69,Liar,Liar,['Rock'],1971,1967–1976 1981–present
1270,Honey Cone,70,Stick-Up,Stick-Up,['R&B'],1971,1968
1271,Mac and Katie Kissoon,71,Chirpy Chirpy Cheep Cheep,Chirpy Chirpy Cheep Cheep,['Bubblegum pop'],1971,
1272,Andy Williams,72,(Where Do I Begin?) Love Story,(Where Do I Begin?) Love Story,['Easy listening'],1971,1938–2012
1273,Cat Stevens,73,Wild World,Wild World,['Folk rock'],1971,1965–1980 1995–present 2017–present
1274,Jerry Reed,74,"re Hot, You","When You're Hot, You're Hot",['Country'],1971,1955–2008
1275,The Beginning of the End,75,Funky Nassau,Funky Nassau,['Funk'],1971,1969–1975
1276,Olivia Newton-John,76,If Not for You,If Not for You,['Country rock'],1971,1963–2022
1277,King Floyd,77,Groove Me,Groove Me,"['R&B', 'funk']",1971,1964–2000
1278,Bobby Goldsboro,78,Watching Scotty Grow,Watching Scotty Grow,"['Pop', 'country']",1971,1962–present
1279,Matthews Southern Comfort,79,Woodstock,Woodstock,['Folk rock'],1971,
1280,Judy Collins,80,Amazing Grace,Amazing Grace,['Christian hymn'],1971,1959–present
1281,Dave Edmunds,81,I Hear You Knocking,I Hear You Knocking,['New Orleans R&B'],1971,1968–2017
1282,Bee Gees,82,Lonely Days,Lonely Days,"['Baroque pop', 'soft rock']",1971,1958–1969 1970–2003 2006 2009–2012
1283,The Fortunes,83,Here Comes That Rainy Day Feeling Again,Here Comes That Rainy Day Feeling Again,['Pop'],1971,1961–present
1284,The Who,84,"[""Won't Get Fooled Again""]",Won't Get Fooled Again,"['Hard rock', 'progressive rock']",1971,1964–1983 1985 1988–1991 1996–1997 1999–present
1285,Denise LaSalle,85,Trapped By a Thing Called Love,Trapped By a Thing Called Love,[],1971,1967–2018
1286,The Jackson 5,86,"[""Mama's Pearl""]",Mama's Pearl,"['Bubblegum pop', 'soul']",1971,1964–1989 2001 2012–present
1287,The Buoys,87,Timothy,Timothy,['Pop rock'],1971,
1288,The Partridge Family,88,I Woke Up In Love This Morning,I Woke Up In Love This Morning,['Pop'],1971,
1289,Isaac Hayes,89,Theme from Shaft,Theme from Shaft,"['Soul', 'funk', 'disco']",1971,2008
1290,Gladys Knight & the Pips,90,If I Were Your Woman,If I Were Your Woman,['Soul'],1971,1952–1989
1291,Neil Diamond,91,I Am...I Said,I Am...I Said,['Pop rock'],1971,1962–present
1292,Paul Stookey,92,The Wedding Song (There Is Love),The Wedding Song (There Is Love),['Easy listening'],1971,
1293,Wilson Pickett,93,"[""Don't Knock My Love""]",Don't Knock My Love,['Soul'],1971,1955–2006
